reference_directional_segment_id,scope,travel_direction,signal_relative_direction,bin_count,starts_at_one,contiguous_index_from_reference,distance_ordered_from_reference,first_bin_start_zero,all_bin_ends_gt_starts,segment_length_ft,last_bin_end_ft_from_reference,length_difference_ft,travel_order_index_ok,qa_status
rds_oseg_rge_rc_0000509_rn_119359_12_352338_44_sgn_signal_001285_rc_0000509_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,50,TRUE,TRUE,TRUE,TRUE,TRUE,2495.22,2495.22,0.0,TRUE,pass
rds_oseg_rge_rc_0000509_rn_119359_12_352338_44_sgn_signal_001285_rc_0000509_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,50,TRUE,TRUE,TRUE,TRUE,TRUE,2495.22,2495.22,0.0,TRUE,pass
rds_oseg_rge_rc_0000509_sgn_signal_001285_rc_0000509_rn_120898_96_351925_27_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2738.87,2738.87,0.0,TRUE,pass
rds_oseg_rge_rc_0000509_sgn_signal_001285_rc_0000509_rn_120898_96_351925_27_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2738.87,2738.87,0.0,TRUE,pass
rds_oseg_rge_rc_0000591_sgn_signal_000681_rc_0000591_rn_207677_29_313701_43_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,21,TRUE,TRUE,TRUE,TRUE,TRUE,1033.448,1033.448,0.0,TRUE,pass
rds_oseg_rge_rc_0000591_sgn_signal_000681_rc_0000591_rn_207677_29_313701_43_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,21,TRUE,TRUE,TRUE,TRUE,TRUE,1033.448,1033.448,0.0,TRUE,pass
rds_oseg_rge_rc_0000640_sgn_signal_000995_rc_0000640_sgn_signal_000994_rc_0000640_signal_000994_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,14,TRUE,TRUE,TRUE,TRUE,TRUE,666.062,666.062,0.0,TRUE,pass
rds_oseg_rge_rc_0000640_sgn_signal_000995_rc_0000640_sgn_signal_000994_rc_0000640_signal_000994_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,14,TRUE,TRUE,TRUE,TRUE,TRUE,666.062,666.062,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_rn_181412_42_321437_21_sgn_signal_002786_rc_0000656_signal_002786_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,18,TRUE,TRUE,TRUE,TRUE,TRUE,855.969,855.969,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_rn_181412_42_321437_21_sgn_signal_002786_rc_0000656_signal_002786_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,18,TRUE,TRUE,TRUE,TRUE,TRUE,855.969,855.969,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_000625_rc_0000656_sgn_signal_000624_rc_0000656_signal_000625_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,29,TRUE,TRUE,TRUE,TRUE,TRUE,1449.189,1449.189,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_000625_rc_0000656_sgn_signal_000624_rc_0000656_signal_000625_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,29,TRUE,TRUE,TRUE,TRUE,TRUE,1449.189,1449.189,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_000626_rc_0000656_sgn_signal_000625_rc_0000656_signal_000625_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2713.736,2713.736,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_000626_rc_0000656_sgn_signal_000625_rc_0000656_signal_000625_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2713.736,2713.736,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_000626_rc_0000656_sgn_signal_000625_rc_0000656_signal_000626_02_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2713.736,2713.736,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_000626_rc_0000656_sgn_signal_000625_rc_0000656_signal_000626_02_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,55,TRUE,TRUE,TRUE,TRUE,TRUE,2713.736,2713.736,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_002786_rc_0000656_sgn_signal_000626_rc_0000656_signal_000626_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,31,TRUE,TRUE,TRUE,TRUE,TRUE,1503.727,1503.727,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_002786_rc_0000656_sgn_signal_000626_rc_0000656_signal_000626_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,31,TRUE,TRUE,TRUE,TRUE,TRUE,1503.727,1503.727,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_002786_rc_0000656_sgn_signal_000626_rc_0000656_signal_002786_02_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,31,TRUE,TRUE,TRUE,TRUE,TRUE,1503.727,1503.727,0.0,TRUE,pass
rds_oseg_rge_rc_0000656_sgn_signal_002786_rc_0000656_sgn_signal_000626_rc_0000656_signal_002786_02_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,31,TRUE,TRUE,TRUE,TRUE,TRUE,1503.727,1503.727,0.0,TRUE,pass
rds_oseg_rge_rc_0000736_rn_203394_61_326750_51_sgn_signal_000871_rc_0000736_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,7,TRUE,TRUE,TRUE,TRUE,TRUE,346.675,346.675,0.0,TRUE,pass
rds_oseg_rge_rc_0000736_rn_203394_61_326750_51_sgn_signal_000871_rc_0000736_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,7,TRUE,TRUE,TRUE,TRUE,TRUE,346.675,346.675,0.0,TRUE,pass
rds_oseg_rge_rc_0000736_sgn_signal_000871_rc_0000736_rn_203553_87_327077_02_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,17,TRUE,TRUE,TRUE,TRUE,TRUE,848.212,848.212,0.0,TRUE,pass
rds_oseg_rge_rc_0000736_sgn_signal_000871_rc_0000736_rn_203553_87_327077_02_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,17,TRUE,TRUE,TRUE,TRUE,TRUE,848.212,848.212,0.0,TRUE,pass
rds_oseg_rge_rc_0000884_sgn_signal_000994_rc_0000884_rn_203426_29_306909_43_signal_000994_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,13,TRUE,TRUE,TRUE,TRUE,TRUE,641.955,641.955,0.0,TRUE,pass
rds_oseg_rge_rc_0000884_sgn_signal_000994_rc_0000884_rn_203426_29_306909_43_signal_000994_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,13,TRUE,TRUE,TRUE,TRUE,TRUE,641.955,641.955,0.0,TRUE,pass
rds_oseg_rge_rc_0000905_sgn_signal_000627_rc_0000905_rn_181412_73_321437_24_signal_000627_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,17,TRUE,TRUE,TRUE,TRUE,TRUE,815.71,815.71,0.0,TRUE,pass
rds_oseg_rge_rc_0000905_sgn_signal_000627_rc_0000905_rn_181412_73_321437_24_signal_000627_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,17,TRUE,TRUE,TRUE,TRUE,TRUE,815.71,815.71,0.0,TRUE,pass
rds_oseg_rge_rc_0000905_sgn_signal_000667_rc_0000905_sgn_signal_000627_rc_0000905_signal_000627_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,34,TRUE,TRUE,TRUE,TRUE,TRUE,1694.776,1694.776,0.0,TRUE,pass
rds_oseg_rge_rc_0000905_sgn_signal_000667_rc_0000905_sgn_signal_000627_rc_0000905_signal_000627_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,34,TRUE,TRUE,TRUE,TRUE,TRUE,1694.776,1694.776,0.0,TRUE,pass
rds_oseg_rge_rc_0000962_sgn_signal_000994_rc_0000962_rn_203434_66_306895_85_signal_000994_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,13,TRUE,TRUE,TRUE,TRUE,TRUE,641.491,641.491,0.0,TRUE,pass
rds_oseg_rge_rc_0000962_sgn_signal_000994_rc_0000962_rn_203434_66_306895_85_signal_000994_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,13,TRUE,TRUE,TRUE,TRUE,TRUE,641.491,641.491,0.0,TRUE,pass
rds_oseg_rge_rc_0001006_sgn_signal_001629_rc_0001006_rn_159513_57_349430_89_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,585,TRUE,TRUE,TRUE,TRUE,TRUE,29245.363,29245.363,0.0,TRUE,pass
rds_oseg_rge_rc_0001006_sgn_signal_001629_rc_0001006_rn_159513_57_349430_89_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,585,TRUE,TRUE,TRUE,TRUE,TRUE,29245.363,29245.363,0.0,TRUE,pass
rds_oseg_rge_rc_0001012_sgn_signal_001318_rc_0001012_sgn_signal_001319_rc_0001012_signal_001319_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,143,TRUE,TRUE,TRUE,TRUE,TRUE,7120.825,7120.825,0.0,TRUE,pass
rds_oseg_rge_rc_0001012_sgn_signal_001318_rc_0001012_sgn_signal_001319_rc_0001012_signal_001319_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,143,TRUE,TRUE,TRUE,TRUE,TRUE,7120.825,7120.825,0.0,TRUE,pass
rds_oseg_rge_rc_0001012_sgn_signal_001319_rc_0001012_rn_95288_13_252866_40_signal_001319_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,93,TRUE,TRUE,TRUE,TRUE,TRUE,4615.87,4615.87,0.0,TRUE,pass
rds_oseg_rge_rc_0001012_sgn_signal_001319_rc_0001012_rn_95288_13_252866_40_signal_001319_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,93,TRUE,TRUE,TRUE,TRUE,TRUE,4615.87,4615.87,0.0,TRUE,pass
rds_oseg_rge_rc_0001020_rn_28803_01_139696_95_sgn_signal_000192_rc_0001020_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,182,TRUE,TRUE,TRUE,TRUE,TRUE,9055.62,9055.62,0.0,TRUE,pass
rds_oseg_rge_rc_0001020_rn_28803_01_139696_95_sgn_signal_000192_rc_0001020_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,182,TRUE,TRUE,TRUE,TRUE,TRUE,9055.62,9055.62,0.0,TRUE,pass
rds_oseg_rge_rc_0001057_rn_71877_49_294115_13_sgn_signal_002277_rc_0001057_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,10,TRUE,TRUE,TRUE,TRUE,TRUE,481.731,481.731,0.0,TRUE,pass
rds_oseg_rge_rc_0001057_rn_71877_49_294115_13_sgn_signal_002277_rc_0001057_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,10,TRUE,TRUE,TRUE,TRUE,TRUE,481.731,481.731,0.0,TRUE,pass
rds_oseg_rge_rc_0001066_rn_194451_27_298682_11_sgn_signal_002815_rc_0001066_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,36,TRUE,TRUE,TRUE,TRUE,TRUE,1750.838,1750.838,0.0,TRUE,pass
rds_oseg_rge_rc_0001066_rn_194451_27_298682_11_sgn_signal_002815_rc_0001066_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,36,TRUE,TRUE,TRUE,TRUE,TRUE,1750.838,1750.838,0.0,TRUE,pass
rds_oseg_rge_rc_0001066_sgn_signal_002815_rc_0001066_rn_195353_42_298969_45_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,32,TRUE,TRUE,TRUE,TRUE,TRUE,1563.685,1563.685,0.0,TRUE,pass
rds_oseg_rge_rc_0001066_sgn_signal_002815_rc_0001066_rn_195353_42_298969_45_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,32,TRUE,TRUE,TRUE,TRUE,TRUE,1563.685,1563.685,0.0,TRUE,pass
rds_oseg_rge_rc_0001082_rn_198500_11_308120_67_sgn_signal_000707_rc_0001082_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,44,TRUE,TRUE,TRUE,TRUE,TRUE,2188.549,2188.549,0.0,TRUE,pass
rds_oseg_rge_rc_0001082_rn_198500_11_308120_67_sgn_signal_000707_rc_0001082_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,44,TRUE,TRUE,TRUE,TRUE,TRUE,2188.549,2188.549,0.0,TRUE,pass
rds_oseg_rge_rc_0001082_sgn_signal_000707_rc_0001082_rn_198725_94_308566_57_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,5,TRUE,TRUE,TRUE,TRUE,TRUE,240.756,240.756,0.0,TRUE,pass
rds_oseg_rge_rc_0001082_sgn_signal_000707_rc_0001082_rn_198725_94_308566_57_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,5,TRUE,TRUE,TRUE,TRUE,TRUE,240.756,240.756,0.0,TRUE,pass
rds_oseg_rge_rc_0001143_sgn_signal_003022_rc_0001143_rn_113614_49_220350_27_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,18,TRUE,TRUE,TRUE,TRUE,TRUE,885.585,885.585,0.0,TRUE,pass
rds_oseg_rge_rc_0001143_sgn_signal_003022_rc_0001143_rn_113614_49_220350_27_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,18,TRUE,TRUE,TRUE,TRUE,TRUE,885.585,885.585,0.0,TRUE,pass
rds_oseg_rge_rc_0001266_sgn_signal_001777_rc_0001266_sgn_signal_003022_rc_0001266_signal_003022_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,11,TRUE,TRUE,TRUE,TRUE,TRUE,534.799,534.799,0.0,TRUE,pass
rds_oseg_rge_rc_0001266_sgn_signal_001777_rc_0001266_sgn_signal_003022_rc_0001266_signal_003022_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,11,TRUE,TRUE,TRUE,TRUE,TRUE,534.799,534.799,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003190_rc_0001284_sgn_signal_003622_rc_0001284_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,2,TRUE,TRUE,TRUE,TRUE,TRUE,64.626,64.626,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003190_rc_0001284_sgn_signal_003622_rc_0001284_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,2,TRUE,TRUE,TRUE,TRUE,TRUE,64.626,64.626,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003200_rc_0001284_sgn_signal_003267_rc_0001284_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,20,TRUE,TRUE,TRUE,TRUE,TRUE,971.995,971.995,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003200_rc_0001284_sgn_signal_003267_rc_0001284_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,20,TRUE,TRUE,TRUE,TRUE,TRUE,971.995,971.995,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003205_rc_0001284_sgn_signal_003285_rc_0001284_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,8,TRUE,TRUE,TRUE,TRUE,TRUE,362.313,362.313,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003205_rc_0001284_sgn_signal_003285_rc_0001284_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,8,TRUE,TRUE,TRUE,TRUE,TRUE,362.313,362.313,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003267_rc_0001284_sgn_signal_003205_rc_0001284_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,21,TRUE,TRUE,TRUE,TRUE,TRUE,1049.318,1049.318,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003267_rc_0001284_sgn_signal_003205_rc_0001284_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,21,TRUE,TRUE,TRUE,TRUE,TRUE,1049.318,1049.318,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003622_rc_0001284_sgn_signal_003200_rc_0001284_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,30,TRUE,TRUE,TRUE,TRUE,TRUE,1494.888,1494.888,0.0,TRUE,pass
rds_oseg_rge_rc_0001284_sgn_signal_003622_rc_0001284_sgn_signal_003200_rc_0001284_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,30,TRUE,TRUE,TRUE,TRUE,TRUE,1494.888,1494.888,0.0,TRUE,pass
rds_oseg_rge_rc_0001375_rn_288197_14_101529_42_sgn_signal_003330_rc_0001375_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,21,TRUE,TRUE,TRUE,TRUE,TRUE,1001.906,1001.906,0.0,TRUE,pass
rds_oseg_rge_rc_0001375_rn_288197_14_101529_42_sgn_signal_003330_rc_0001375_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,21,TRUE,TRUE,TRUE,TRUE,TRUE,1001.906,1001.906,0.0,TRUE,pass
rds_oseg_rge_rc_0001594_rn_244627_61_143418_77_sgn_signal_001546_rc_0001594_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,2,TRUE,TRUE,TRUE,TRUE,TRUE,95.055,95.055,0.0,TRUE,pass
rds_oseg_rge_rc_0001594_rn_244627_61_143418_77_sgn_signal_001546_rc_0001594_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,2,TRUE,TRUE,TRUE,TRUE,TRUE,95.055,95.055,0.0,TRUE,pass
rds_oseg_rge_rc_0001594_sgn_signal_001546_rc_0001594_rn_244423_21_144068_96_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,44,TRUE,TRUE,TRUE,TRUE,TRUE,2162.079,2162.079,0.0,TRUE,pass
rds_oseg_rge_rc_0001594_sgn_signal_001546_rc_0001594_rn_244423_21_144068_96_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,44,TRUE,TRUE,TRUE,TRUE,TRUE,2162.079,2162.079,0.0,TRUE,pass
rds_oseg_rge_rc_0001665_sgn_signal_000627_rc_0001665_rn_181412_42_321437_21_signal_000627_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,17,TRUE,TRUE,TRUE,TRUE,TRUE,830.811,830.811,0.0,TRUE,pass
rds_oseg_rge_rc_0001665_sgn_signal_000627_rc_0001665_rn_181412_42_321437_21_signal_000627_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,17,TRUE,TRUE,TRUE,TRUE,TRUE,830.811,830.811,0.0,TRUE,pass
rds_oseg_rge_rc_0001665_sgn_signal_000667_rc_0001665_sgn_signal_000627_rc_0001665_signal_000627_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,34,TRUE,TRUE,TRUE,TRUE,TRUE,1695.718,1695.718,0.0,TRUE,pass
rds_oseg_rge_rc_0001665_sgn_signal_000667_rc_0001665_sgn_signal_000627_rc_0001665_signal_000627_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,34,TRUE,TRUE,TRUE,TRUE,TRUE,1695.718,1695.718,0.0,TRUE,pass
rds_oseg_rge_rc_0001667_rn_167186_03_159291_53_sgn_signal_000362_rc_0001667_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,10,TRUE,TRUE,TRUE,TRUE,TRUE,474.012,474.012,0.0,TRUE,pass
rds_oseg_rge_rc_0001667_rn_167186_03_159291_53_sgn_signal_000362_rc_0001667_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,10,TRUE,TRUE,TRUE,TRUE,TRUE,474.012,474.012,0.0,TRUE,pass
rds_oseg_rge_rc_0001667_sgn_signal_000362_rc_0001667_rn_167474_89_158853_73_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,26,TRUE,TRUE,TRUE,TRUE,TRUE,1252.576,1252.576,0.0,TRUE,pass
rds_oseg_rge_rc_0001667_sgn_signal_000362_rc_0001667_rn_167474_89_158853_73_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,26,TRUE,TRUE,TRUE,TRUE,TRUE,1252.576,1252.576,0.0,TRUE,pass
rds_oseg_rge_rc_0001689_rn_207190_47_313525_04_sgn_signal_000681_rc_0001689_undivided_centerline_a_to_b,prototype_usable,reference_to_anchor,downstream_of_reference_signal,14,TRUE,TRUE,TRUE,TRUE,TRUE,686.418,686.418,0.0,TRUE,pass
rds_oseg_rge_rc_0001689_rn_207190_47_313525_04_sgn_signal_000681_rc_0001689_undivided_centerline_b_to_a,prototype_usable,anchor_to_reference,upstream_of_reference_signal,14,TRUE,TRUE,TRUE,TRUE,TRUE,686.418,686.418,0.0,TRUE,pass
rds_oseg_rge_rc_0001791_sgn_signal_003263_rc_0001791_sgn_signal_003557_rc_0001791_signal_003557_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,20,TRUE,TRUE,TRUE,TRUE,TRUE,993.129,993.129,0.0,TRUE,pass
rds_oseg_rge_rc_0001791_sgn_signal_003263_rc_0001791_sgn_signal_003557_rc_0001791_signal_003557_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,20,TRUE,TRUE,TRUE,TRUE,TRUE,993.129,993.129,0.0,TRUE,pass
rds_oseg_rge_rc_0001791_sgn_signal_003557_rc_0001791_sgn_signal_003575_rc_0001791_signal_003557_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,26,TRUE,TRUE,TRUE,TRUE,TRUE,1285.801,1285.801,0.0,TRUE,pass
rds_oseg_rge_rc_0001791_sgn_signal_003557_rc_0001791_sgn_signal_003575_rc_0001791_signal_003557_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,26,TRUE,TRUE,TRUE,TRUE,TRUE,1285.801,1285.801,0.0,TRUE,pass
rds_oseg_rge_rc_0001802_sgn_signal_000995_rc_0001802_sgn_signal_000994_rc_0001802_signal_000994_01_a_to_b,excluded_or_review,reference_to_anchor,downstream_of_reference_signal,14,TRUE,TRUE,TRUE,TRUE,TRUE,651.761,651.761,0.0,TRUE,pass
rds_oseg_rge_rc_0001802_sgn_signal_000995_rc_0001802_sgn_signal_000994_rc_0001802_signal_000994_01_b_to_a,excluded_or_review,anchor_to_reference,upstream_of_reference_signal,14,TRUE,TRUE,TRUE,TRUE,TRUE,651.761,651.761,0.0,TRUE,pass
